2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国银行业理财业务发展报告：暨理财公司2025年鉴（342页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509151532545262113.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 新能源车险研究报告（25页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509151522379100307.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 数字资产研究报告：稳定币（50页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509151015023184819.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 全球跨境支付服务行业洞察报告（38页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509101349586889000.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 2025年H1中国手机银行APP流量监测报告（13页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509091015263244951.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 农业保险发展水平评价与研究报告（57页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509091013417991927.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国股权市场特征与展望报告（22页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509090947559195227.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国量化投资白皮书（340页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509090954238374481.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国场外金融衍生品市场发展报告（77页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509031342081511000.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 寿险公司的利差风险研究报告：净资产对利率的敏感性分析和保单负债成本测算（17页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/09/202509031336316189518.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国人身险银保渠道三十年演进与价值跃迁研究报告（38页）
2025-12-26 22:57:25 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/08/202508251143168406314.zip
2025-12-26 22:57:25 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 银行路径、规模与海外镜鉴报告：低利率下的居民“存款搬家”及财富配置（37页）
2025-12-26 22:57:26 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/08/202508181347065532789.zip
2025-12-26 22:57:26 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国证券业调查报告（113页）
2025-12-26 22:57:26 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/08/202508121531385731568.zip
2025-12-26 22:57:26 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币行业报告：加密产业价值地图（44页）
2025-12-26 22:57:26 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/08/202508121529532693188.zip
2025-12-26 22:57:26 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 保险行业报告：中国人身险产品变迁历史与未来展望（23页）
2025-12-26 22:57:26 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/08/202508120954593021489.zip
2025-12-26 22:57:26 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币与RWA的全景报告（21页）
2025-12-26 22:57:26 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/08/202508120946405014664.zip
2025-12-26 22:57:26 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币专题报告：稳定币有望助推人民币国际化（12页）
2025-12-26 22:57:26 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/08/202508120934149571385.zip
2025-12-26 22:57:26 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 银行行业报告：资负结构转化中的银行利率风险重估（56页）
2025-12-26 22:57:26 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/08/202508120928388531580.zip
2025-12-26 22:57:26 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 财富管理行业报告：公募基金改革方案（25页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/08/202508050933058683328.zip
